batter,batsman_run
A Ashish Reddy,280
A Badoni,161
A Chandila,4
A Chopra,53
A Choudhary,25
A Dananjaya,4
A Flintoff,62
A Kumble,35
A Manohar,108
A Mishra,362
A Mithun,34
A Mukund,19
A Nehra,41
A Nortje,8
A Singh,2
A Symonds,974
A Tomar,4
A Uniyal,4
A Zampa,5
AA Bilakhia,69
AA Chavan,12
AA Jhunjhunwala,217
AA Noffke,9
AB Agarkar,179
AB Barath,42
AB Dinda,26
AB McDonald,123
AB de Villiers,5181
AC Blizzard,120
AC Gilchrist,2069
AC Thomas,20
AC Voges,181
AD Hales,148
AD Mascarenhas,79
AD Mathews,724
AD Nath,90
AD Russell,2039
AF Milne,23
AG Murtaza,10
AG Paunikar,49
AJ Finch,2092
AJ Turner,3
AJ Tye,91
AK Markram,527
AL Menaria,401
AM Nayar,672
AM Rahane,4074
AN Ahmed,36
AN Ghosh,7
AP Dole,34
AP Majumdar,87
AP Tare,339
AR Bawne,12
AR Patel,1135
AS Joseph,20
AS Rajpoot,26
AS Raut,194
AS Roy,0
AS Yadav,49
AT Carey,32
AT Rayudu,4190
AUK Pathan,39
Abdul Samad,228
Abdur Razzak,0
Abhishek Sharma,667
Akash Deep,0
Aman Hakim Khan,5
Anirudh Singh,63
Ankit Sharma,87
Ankit Soni,7
Anmolpreet Singh,29
Anuj Rawat,129
Anureet Singh,36
Arshdeep Singh,23
Avesh Khan,31
Azhar Mahmood,388
B Akhil,76
B Chipli,280
B Indrajith,21
B Kumar,241
B Laughlin,5
B Lee,124
B Sai Sudharsan,145
B Stanlake,5
B Sumanth,35
BA Bhatt,6
BA Stokes,920
BAW Mendis,3
BB McCullum,2882
BB Samantray,125
BB Sran,10
BCJ Cutting,238
BE Hendricks,1
BJ Haddin,18
BJ Hodge,1400
BJ Rohrer,193
BMAJ Mendis,23
BR Dunk,40
Basil Thampi,32
Bipul Sharma,187
C Madan,15
C Munro,177
C Nanda,0
C Sakariya,16
C de Grandhomme,303
CA Ingram,205
CA Lynn,1329
CA Pujara,390
CH Gayle,4997
CH Morris,618
CJ Anderson,538
CJ Ferguson,98
CJ Jordan,75
CJ McKay,8
CK Kapugedera,16
CK Langeveldt,8
CL White,971
CM Gautam,169
CR Brathwaite,181
CR Woakes,78
CRD Fernando,4
CV Varun,24
D Brevis,161
D Kalyankrishna,3
D Padikkal,1260
D Pretorius,44
D Salunkhe,33
D Wiese,127
D du Preez,10
DA Miller,2455
DA Warner,5883
DAJ Bracewell,12
DB Das,304
DB Ravi Teja,375
DE Bollinger,21
DH Yagnik,170
DJ Bravo,1560
DJ Harris,111
DJ Hooda,1237
DJ Hussey,1322
DJ Jacobs,92
DJ Malan,26
DJ Mitchell,33
DJ Muthuswami,1
DJ Thornely,39
DJ Willey,18
DJG Sammy,295
DJM Short,115
DL Chahar,79
DL Vettori,121
DM Bravo,6
DNT Zoysa,11
DP Conway,252
DP Nannes,4
DP Vijaykumar,1
DPMD Jayawardene,1808
DR Martyn,19
DR Sams,44
DR Shorey,13
DR Smith,2385
DS Kulkarni,104
DS Lehmann,18
DT Christian,460
DT Patil,13
DW Steyn,167
E Lewis,654
EJG Morgan,1406
ER Dwivedi,24
F Behardien,14
F du Plessis,3403
FA Allen,14
FH Edwards,4
FY Fazal,183
Fazalhaq Farooqi,2
G Gambhir,4217
GB Hogg,22
GC Smith,739
GC Viljoen,3
GD McGrath,4
GD Phillips,26
GH Vihari,284
GHS Garton,2
GJ Bailey,663
GJ Maxwell,2320
GR Napier,15
Gurkeerat Singh,511
H Das,2
H Klaasen,66
HE van der Dussen,22
HF Gurney,1
HH Gibbs,886
HH Pandya,1972
HM Amla,577
HR Shokeen,43
HV Patel,230
Harbhajan Singh,833
Harmeet Singh,18
Harpreet Brar,106
Harpreet Singh,20
Harshit Rana,2
I Malhotra,7
I Sharma,55
I Udana,15
IC Pandey,0
IK Pathan,1150
IR Jaggi,76
IS Sodhi,7
Imran Tahir,33
Iqbal Abdulla,88
Ishan Kishan,1870
J Arunkumar,23
J Botha,409
J Suchith,70
J Syed Mohammad,29
J Theron,10
J Yadav,40
JA Morkel,975
JA Richardson,15
JC Archer,195
JC Buttler,2832
JD Ryder,604
JD Unadkat,164
JDP Oram,106
JDS Neesham,92
JE Taylor,3
JEC Franklin,327
JH Kallis,2427
JJ Bumrah,56
JJ Roy,329
JJ van der Wath,18
JL Denly,0
JL Pattinson,15
JM Bairstow,1291
JM Kemp,26
JM Sharma,234
JO Holder,247
JP Duminy,2029
JP Faulkner,527
JPR Scantlebury-Searles,8
JR Hazlewood,18
JR Hopes,417
JR Philippe,78
Jaskaran Singh,8
Joginder Sharma,36
K Goel,218
K Gowtham,186
K Kartikeya,3
K Rabada,186
K Upadhyay,12
K Yadav,0
KA Jamieson,65
KA Pollard,3437
KAJ Roach,10
KB Arun Karthik,51
KC Cariappa,24
KC Sangakkara,1687
KD Karthik,4377
KH Pandya,1326
KJ Abbott,13
KK Ahmed,1
KK Cooper,116
KK Nair,1496
KL Nagarkoti,22
KL Rahul,3895
KM Jadhav,1196
KMA Paul,18
KMDN Kulasekara,5
KP Appanna,2
KP Pietersen,1001
KR Sen,0
KS Bharat,199
KS Sharma,4
KS Williamson,2105
KV Sharma,317
KW Richardson,36
Kamran Akmal,128
Kamran Khan,3
Karanveer Singh,12
Kartik Tyagi,13
Kuldeep Yadav,105
L Ablish,0
L Balaji,36
L Ronchi,34
LA Carseldine,81
LA Pomersbach,302
LE Plunkett,1
LH Ferguson,67
LJ Wright,106
LMP Simmons,1079
LPC Silva,40
LR Shukla,405
LRPL Taylor,1017
LS Livingstone,549
Lalit Yadav,229
M Ashwin,35
M Jansen,9
M Kaif,259
M Kartik,113
M Klinger,73
M Manhas,514
M Markande,27
M Morkel,126
M Muralitharan,20
M Ntini,11
M Prasidh Krishna,9
M Rawat,55
M Shahrukh Khan,270
M Theekshana,7
M Vijay,2619
M Vohra,1073
M de Lange,1
MA Agarwal,2335
MA Khote,24
MA Starc,96
MA Wood,1
MC Henriques,1000
MC Juneja,125
MD Mishra,237
MDKJ Perera,14
MEK Hussey,1977
MF Maharoof,177
MG Johnson,167
MJ Clarke,98
MJ Guptill,271
MJ Lumb,278
MJ McClenaghan,85
MJ Santner,54
MK Lomror,267
MK Pandey,3657
MK Tiwary,1695
ML Hayden,1107
MM Ali,910
MM Patel,39
MM Sharma,122
MN Samuels,161
MN van Wyk,167
MP Stoinis,1070
MR Marsh,476
MS Bisla,798
MS Dhoni,4978
MS Gony,99
MS Wade,179
MV Boucher,394
Mandeep Singh,1692
Mashrafe Mortaza,2
Misbah-ul-Haq,117
Mohammad Ashraful,2
Mohammad Asif,3
Mohammad Hafeez,64
Mohammad Nabi,186
Mohammed Shami,69
Mohammed Siraj,96
Mohsin Khan,23
Mujeeb Ur Rahman,12
Mukesh Choudhary,6
Mustafizur Rahman,12
N Jagadeesan,73
N Pooran,912
N Rana,2181
N Saini,140
ND Doshi,0
NJ Maddinson,20
NJ Rimmington,1
NK Patel,121
NL McCullum,26
NLTC Perera,424
NM Coulter-Nile,82
NS Naik,31
NT Ellis,18
NV Ojha,1554
Navdeep Saini,33
OA Shah,506
OC McCoy,8
OF Smith,51
P Awana,5
P Chopra,8
P Dogra,127
P Dubey,7
P Kumar,340
P Negi,365
P Parameswaran,1
P Ray Barman,19
P Sahu,19
P Simran Singh,64
PA Patel,2848
PA Reddy,164
PBB Rajapaksa,206
PC Valthaty,505
PD Collingwood,203
PJ Cummins,379
PJ Sangwan,26
PK Garg,251
PM Sarvesh Kumar,1
PN Mankad,4
PP Chawla,584
PP Ojha,16
PP Shaw,1588
PR Shah,92
PSP Handscomb,6
PV Tambe,18
PVD Chameera,43
PWH de Silva,39
Pankaj Singh,7
Parvez Rasool,17
Q de Kock,2767
R Ashwin,647
R Bhatia,342
R Bishnoi,19
R Dhawan,190
R Dravid,2174
R McLaren,159
R Ninan,3
R Parag,522
R Powell,250
R Rampaul,51
R Sanjay Yadav,0
R Sathish,270
R Sharma,66
R Shepherd,58
R Shukla,19
R Tewatia,738
R Vinay Kumar,310
RA Bawa,11
RA Jadeja,2502
RA Tripathi,1798
RD Chahar,108
RD Gaikwad,1207
RE Levi,83
RE van der Merwe,159
RG More,2
RG Sharma,5881
RJ Harris,117
RJ Peterson,32
RJ Quiney,103
RK Bhui,7
RK Singh,251
RM Patidar,404
RN ten Doeschate,326
RP Meredith,0
RP Singh,52
RR Bhatkal,0
RR Pant,2851
RR Powar,67
RR Raje,20
RR Rossouw,53
RR Sarwan,73
RS Bopara,531
RS Gavaskar,2
RS Sodhi,4
RT Ponting,91
RV Gomez,50
RV Patel,31
RV Uthappa,4954
Ramandeep Singh,45
Rashid Khan,313
Rasikh Salam,12
Ravi Bishnoi,8
S Anirudha,136
S Aravind,59
S Badree,13
S Badrinath,1441
S Chanderpaul,25
S Dhawan,6244
S Dube,688
S Gopal,180
S Kaul,20
S Kaushik,0
S Ladda,0
S Lamichhane,0
S Nadeem,39
S Narwal,37
S Rana,91
S Randiv,2
S Sohal,368
S Sreesanth,34
S Sriram,31
S Tyagi,3
S Vidyut,145
SA Abbott,22
SA Asnodkar,423
SA Yadav,2644
SB Bangar,49
SB Jakati,28
SB Joshi,6
SB Styris,131
SB Wagh,2
SC Ganguly,1349
SD Chitnis,99
SD Lad,15
SE Bond,1
SE Marsh,2489
SE Rutherford,106
SJ Srivastava,5
SK Raina,5536
SK Trivedi,42
SK Warne,198
SL Malinga,88
SM Curran,337
SM Harwood,9
SM Katich,241
SM Pollock,147
SMSM Senanayake,10
SN Khan,532
SN Thakur,173
SO Hetmyer,831
SP Fleming,196
SP Goswami,293
SP Jackson,61
SP Narine,1025
SPD Smith,2495
SR Tendulkar,2334
SR Watson,3880
SS Cottrell,0
SS Iyer,2780
SS Prabhudessai,67
SS Shaikh,6
SS Tiwary,1494
ST Jayasuriya,768
STR Binny,880
SV Samson,3526
SW Billings,503
SW Tait,23
Sachin Baby,144
Salman Butt,193
Sandeep Sharma,52
Shahbaz Ahmed,279
Shahid Afridi,81
Shakib Al Hasan,795
Shashank Singh,69
Shivam Mavi,51
Shivam Sharma,5
Shoaib Ahmed,1
Shoaib Akhtar,2
Shoaib Malik,52
Shubman Gill,1900
Simarjeet Singh,7
Sohail Tanvir,36
Sunny Gupta,0
Sunny Singh,43
Swapnil Singh,12
T Banton,18
T Henderson,11
T Kohli,11
T Natarajan,3
T Shamsi,2
T Stubbs,2
T Taibu,31
T Thushara,12
TA Boult,53
TD Paine,10
TG Southee,120
TH David,187
TK Curran,127
TL Seifert,26
TL Suman,676
TM Dilshan,1153
TM Head,205
TM Srivastava,8
TR Birt,75
TS Mills,8
TU Deshpande,21
Tilak Varma,397
U Kaul,0
UA Birla,7
UBT Chand,300
UT Khawaja,127
UT Yadav,177
Umar Gul,39
Umran Malik,4
V Kohli,6634
V Pratap Singh,0
V Sehwag,2728
V Shankar,731
VG Arora,5
VH Zol,29
VR Aaron,50
VR Iyer,552
VRV Singh,4
VS Malik,7
VS Yeligati,2
VVS Laxman,282
VY Mahesh,15
Virat Singh,15
Vishnu Vinod,19
W Jaffer,130
WA Mota,56
WD Parnell,63
WP Saha,2427
WPUJC Vaas,81
Washington Sundar,318
X Thalaivan Sargunam,10
Y Gnaneswara Rao,19
Y Nagar,285
Y Prithvi Raj,0
Y Venugopal Rao,985
YA Abdulla,0
YBK Jaiswal,547
YK Pathan,3222
YS Chahal,37
YV Takawale,192
Yash Dayal,0
Yashpal Singh,47
Younis Khan,3
Yuvraj Singh,2754
Z Khan,117
